0,0,137742915,137427452,137972479,137603548,138062855,138062499,137393148,137566408,137362527,137649877,137803900,137652868,138086114,137714722,137993902,138055714,137697379,137499651,139017635,137702526,138004284,137718545,137656770,137806814,138067900,137728240,137244327,137415934,137360762,137742786,137739878,137489723,137602050,137250071,138029254,137590880,137642556,137624933,137658313,137523040,137572816,137778334,137497018,137841294,137752867,137877661,137670351,137556443,137626907,137434942,137016952,137902484,137975113,137524359,139615503,137573602,137427178,137555220,137471086,137771357,137044966,137442642,137797448,137405042,137237182,137886222,137426756,137508942,137703792,137710761,137559296,137843177,137522727,137853036,137566577,137941522,137648956,137479256,137845185,137877598,137863722,137979876,137686989,138957912,136901240,137334624,137130914,137139117,137240363,137206350,137512728,137563981,137388888,137431605,137450343,137728072,137487296,137459639,137723719
0,396493937,238206799,238780237,238533053,238822605,239072311,238847203,238445871,238469959,238497201,238438995,239359093,238853511,238987194,238612341,238709031,238437411,238176891,238190880,238706329,238902526,239163953,238708657,238554454,238334945,238757297,238655193,239759362,237870730,238318502,238446620,238274955,238769890,238652802,238355352,239174193,238369848,238652123,238642218,238712237,238434164,238429516,238842414,238224900,238957985,238254899,239041582,238772686,239734662,238479058,238862071,238287914,238997206,238697472,238487465,238414376,238044897,238362460,238477639,238761554,238437000,238219004,238441211,238557963,238360602,238468933,238901310,238088983,238222045,238662579,244139091,238518406,239181208,238123039,238803524,238619614,238739634,237990547,238608940,238671787,238630236,238961721,238865558,238399618,238680796,237988027,238286581,238515763,238006455,237904198,237816974,237781633,237992776,238243022,238346836,238191543,238402390,237818593,238314622,238038640
1,137600209,137925812,137158161,137663216,137344764,137723581,137661171,136968063,137476262,137782703,137982062,138035501,137629268,137399927,137537826,137492902,137224430,137225127,137619796,137452637,137498594,137764066,137871851,137742238,137696806,137718760,137228278,137321463,137971369,137174343,137437793,137769891,137676500,137247749,137753079,137309711,137368212,137465755,137568427,137187214,137399786,137415769,137497907,137260064,137737270,137437812,137605810,137645184,137813804,137241199,145310319,137688114,137335261,137736714,137521056,137819861,137307031,137787209,137173982,137673416,137156100,137678350,137390124,137268416,137808951,139846664,137177129,137271666,137343660,137210370,137087652,137266166,137758354,137402434,137255623,137593131,137158709,137995887,137073258,137752021,137519488,137476033,137746407,137424192,137559141,137186245,137505425,137283418,137952733,137402159,137515198,137617717,137423130,137253706,137480398,137402790,137272180,137602649,137548534,137187459
1,237950214,238005919,237746304,238511982,238097528,239008626,238072680,237934133,238394735,238616914,238552667,238509153,238270284,238221178,237869428,238842451,238131638,238021541,238632335,238560855,238468399,238310754,238917234,238597985,238737178,238830701,238116465,238468944,238667897,238126082,238111585,238560421,238481983,238478156,238850712,238435656,237853228,238122649,238509148,238375224,238202648,238499882,238181894,237907084,238462815,238312309,238139616,237812575,238530907,237848894,238636496,238118556,237956051,238718009,238526241,238639991,238242873,238689224,238167902,238619717,238160226,238643777,238221463,238213916,238321186,240777800,237815075,237771227,238248062,237927825,238134132,238529438,238401279,238076771,238504631,237854449,238144597,238394175,237841407,238095261,239237408,238314037,238462843,238272966,238151283,238037249,238853097,237825641,238371264,238215169,238105815,238569563,238327360,238295436,238334686,238366634,237590439,238508858,237924345,238116345
2,137591483,137029148,138270468,137809141,137711681,137190366,137298753,137475491,137783298,137529627,137683717,137946973,137723379,136971029,137528693,138021588,137573995,137575731,137929524,137459522,137338937,137421905,137305219,137683215,137216758,137330136,137588474,137887787,137713548,137432706,137010254,137130033,137719442,137118303,137396913,137185264,137185419,137965858,137162448,137580463,137815161,137677667,137552030,137682176,137486511,137847582,137674807,137211922,137636469,137214540,137291848,137509850,136944829,137359345,137525047,137297383,137319220,137616369,137758502,137524630,138496494,137340761,137824251,137605925,137756905,137300020,137843469,137061684,137249991,137783198,137544408,137156865,137361539,137510238,137590141,137726016,137500822,137506668,137341494,137251952,137505812,137606120,137206966,137713251,137384542,137344081,137265394,137596117,137571557,137389688,137469271,137513115,137291493,137801962,137519126,137642004,137233872,137309052,137678482,137859332
2,238068812,237836018,238496854,238435819,237998481,238193193,237940766,237812354,238944311,238489627,238254664,238960855,238328787,238072163,238379890,238604641,237951241,238454681,238399270,238591920,238089383,238008347,237739345,237901355,238129485,238249678,238430856,238479896,238921535,238587561,237822150,239865428,237950115,238071556,238008894,237870170,237804554,238279610,239442576,238266966,238412744,238297220,238894986,238451609,238263853,238606136,238195008,238155121,238485506,238120383,237999783,238453875,238061552,238655984,238160693,238156792,238249657,238448269,238473275,237696151,238510760,238424902,238131298,238171474,238743445,238307941,238681374,237794321,237682449,238436584,238544227,238536673,237973582,238274968,238623191,238632923,237924569,238158197,238169326,238223734,237838120,238739065,237851011,238011270,238308457,238110784,238388368,238035176,238524634,240617545,238273970,238454649,238162662,238489834,237995736,238500471,238002407,238061737,238545486,238447847
3,137324732,137720667,137314866,137388282,141090117,137601642,137494947,137551629,137293271,137612808,137439761,137982551,137963677,137189735,137296354,137436230,137162832,137357332,137459275,137639970,137263205,137786408,137384846,137894499,137548071,138793999,137656121,136998901,137412387,137099521,137311792,137238768,137598938,137659451,137204810,137407247,137578996,137473152,137350263,137451805,137623852,137397721,137384751,137500112,137480012,137554860,137257424,137746096,137646217,137452402,137372997,137580593,137850690,137008965,137828288,137652824,137944433,137826777,137911276,137363379,137799002,137481329,137535714,137040789,137237228,137489062,137265945,137581092,137316262,137411692,137522157,137601417,137646550,137902037,137608375,137829495,137125328,137769184,137497905,137813814,137566154,137199186,137260094,137090912,137033647,137799511,137903119,137951165,137374844,137042141,137462560,137482883,137148653,137140976,137633583,138212884,137605819,137284495,137507104,137531043
3,238514084,238097450,237870318,238387389,240949650,238151235,238379768,238402923,238230785,238297584,238100771,237914517,238653149,237849139,237733179,238470635,237948693,238422953,238478110,238525120,238282646,238713047,237972797,238594738,238308944,238496090,238463918,237944071,238239982,237884011,238007940,238258719,238797877,238475485,237894058,238406475,238512189,238271559,238263059,237842520,239036652,238131711,238195551,238158260,238130545,238611963,238191718,238467889,238042681,238217016,238191365,237956965,238488369,237786752,240355928,238407774,238629728,238492570,238587838,238441306,239049072,238348946,238614130,237934005,237636837,238123864,246275652,237830671,238094407,238410498,238348634,238410992,238377262,238492961,238726506,238363949,237907184,238093307,238400178,238502431,238289664,237736641,238542128,237941469,237723928,238538879,238688462,238709540,238402735,237635221,238306509,237971187,237863748,238108370,238221918,238562232,238084226,237981021,238320477,238543556
4,137759510,137688114,137734203,137457833,137774110,137573976,137900238,137453039,138019193,137592872,137703892,137636811,138027145,137119201,137676541,137332903,137778402,137515848,137623037,137939738,137143522,137408047,137683985,137316115,137279782,137290325,137366733,140314943,137319220,137422395,137621490,137079583,137417884,137801649,137322698,137409098,137568703,137826297,137439931,137474304,137962067,137913119,138166622,137485586,138014403,137877243,137482882,137653944,137489471,137535930,137369972,137592937,137563619,137853881,137632193,137414021,137894627,137526879,137389480,137760709,137473806,137453278,137941222,137728820,137205462,137175528,137536291,137393457,137482566,137639944,137557733,137795152,137076156,137678610,137336840,137444033,137013766,137061180,137488188,137438608,137489253,137581252,137571430,137564583,137406257,137458619,136931802,140199996,136947700,137515379,137344022,137442965,137604508,137531075,137621197,137712210,137488808,137586010,137561698,137168109
4,238609976,238763854,238246857,238129684,239082257,239655390,238601548,238245138,238866568,238735812,238604169,238434924,238329184,237797179,238557379,238284177,238452093,238537116,238884983,238498070,238179641,237990194,238205335,238137664,237980927,237978267,238124870,238346030,238506312,238090698,238405347,238090621,238160072,238620474,238364940,238496440,238725312,238591633,238391553,238076496,238630310,238595370,238198142,238128616,238472304,238745187,238129965,238703660,238488781,238015444,238032047,238016808,238341846,238618122,238634209,237876903,238638447,238314257,237995475,238503270,238644686,238254904,238651091,238754110,238256812,238064609,238304970,237811991,238069421,238005464,238346678,239893169,237731200,238247253,237987534,238293121,238260063,237698218,237907030,238062169,238187704,238498977,238219740,239667056,238601832,238268754,237811931,239504966,237994986,238193238,238126113,238112570,238296718,238582466,238498409,238697824,237925409,238662165,238229782,237959754
